source, levels, reached, fraction_reached, edges_inspected, elapsed_s, teps
738663,8,1048576,1.000000,16777216,0.136491,122917823.638895
730862,8,1048576,1.000000,16777216,0.135998,123363937.813846
828657,8,1048576,1.000000,16777216,0.136176,123202497.275198
220063,8,1048576,1.000000,16777216,0.136053,123313932.274408
63873,8,1048576,1.000000,16777216,0.135830,123515919.419331
615656,8,1048576,1.000000,16777216,0.136003,123358775.707303
566372,8,1048576,1.000000,16777216,0.136012,123351319.489215
361462,8,1048576,1.000000,16777216,0.135936,123419634.574446
930033,8,1048576,1.000000,16777216,0.136261,123125995.578867
566452,8,1048576,1.000000,16777216,0.136028,123336547.575051
753390,8,1048576,1.000000,16777216,0.135977,123382697.739830
986883,8,1048576,1.000000,16777216,0.136204,123177025.337879
91394,8,1048576,1.000000,16777216,0.135907,123446656.621288
480359,8,1048576,1.000000,16777216,0.136359,123036735.163225
201877,8,1048576,1.000000,16777216,0.136007,123355581.241008
413505,8,1048576,1.000000,16777216,0.135956,123402240.329745
