source, levels, reached, fraction_reached, edges_inspected, elapsed_s, teps
560940,9,948865,0.904908,16237812,0.095789,169516891.622613
658156,9,948865,0.904908,16237812,0.095677,169714726.392978
491159,10,948865,0.904908,16237812,0.095351,170295171.471908
169084,8,948865,0.904908,16237812,0.096267,168675622.686234
119575,8,948865,0.904908,16237812,0.095411,170187594.744456
648330,8,948865,0.904908,16237812,0.095804,169489752.384588
926929,8,948865,0.904908,16237812,0.095418,170175682.068321
903270,8,948865,0.904908,16237812,0.095548,169943868.056389
16557,8,948865,0.904908,16237812,0.095490,170048050.597704
466139,8,948865,0.904908,16237812,0.095587,169874176.471309
339876,9,948865,0.904908,16237812,0.098124,165482606.800091
829455,8,948865,0.904908,16237812,0.094916,171076099.350239
753678,8,948865,0.904908,16237812,0.095226,170518081.999060
761732,8,948865,0.904908,16237812,0.095530,169976209.545262
925479,9,948865,0.904908,16237812,0.095766,169557144.045307
428335,9,948865,0.904908,16237812,0.095604,169843623.652631
