order,M,K,N,avg,median,min,max,rate,running_total
ijk,256,256,256,0.017033,0.017005,0.017004,0.017101,1969910714.538368,6318500.000000
ikj,256,256,256,0.004971,0.004991,0.004888,0.004995,6749661178.572546,6318500.000000
jik,256,256,256,0.017373,0.017405,0.017311,0.017433,1931463203.610124,6318500.000000
jki,256,256,256,0.056557,0.056553,0.056534,0.056590,593282414.807486,6318500.000000
kij,256,256,256,0.005528,0.005528,0.005475,0.005581,6069765588.757782,6318500.000000
kji,256,256,256,0.056356,0.056380,0.056210,0.056467,595403453.664654,6318500.000000
ijk,512,512,512,0.398302,0.398295,0.398245,0.398388,673949611.871726,13036000.000000
ikj,512,512,512,0.043817,0.043808,0.043432,0.044374,6126217269.955044,13036000.000000
jik,512,512,512,0.426952,0.426944,0.426819,0.427136,628725544.877767,13036000.000000
jki,512,512,512,0.824123,0.823925,0.823698,0.825477,325722445.636149,13036000.000000
kij,512,512,512,0.045405,0.045376,0.045070,0.045952,5911963931.458608,13036000.000000
kji,512,512,512,0.826082,0.824300,0.824007,0.838449,324950137.292050,13036000.000000
ijk,1024,1024,1024,3.119250,3.160617,3.004269,3.213271,688461546.960870,25405250.000000
ikj,1024,1024,1024,0.347987,0.347986,0.347209,0.349169,6171153487.904245,25405250.000000
jik,1024,1024,1024,3.625672,3.634469,3.523607,3.697193,592299524.448316,25405250.000000
jki,1024,1024,1024,6.644435,6.640147,6.618322,6.674901,323200329.249282,25405250.000000
kij,1024,1024,1024,0.372059,0.371971,0.370495,0.373481,5771882927.298928,25405250.000000
kji,1024,1024,1024,6.558531,6.557881,6.556072,6.563397,327433616.316113,25405250.000000
ijk,412,1024,256,0.320630,0.320586,0.320522,0.320948,673694349.931063,24745700.000000
ikj,412,1024,256,0.039545,0.039451,0.038745,0.040297,5462365081.179509,24745700.000000
jik,412,1024,256,0.342659,0.342568,0.342524,0.343419,630384297.678250,24745700.000000
jki,412,1024,256,0.459905,0.459867,0.459832,0.460093,469677030.175722,24745700.000000
kij,412,1024,256,0.039988,0.040005,0.039914,0.040041,5401816236.219407,24745700.000000
kji,412,1024,256,0.454263,0.454115,0.454001,0.454865,475509766.881755,24745700.000000
